N,time
500,0.000375
600,0.000537
700,0.000693
800,0.000855
900,0.001136
1000,0.00129
1100,0.001456
1200,0.001849
1300,0.001887
1400,0.002142
1500,0.002468
1600,0.00279
1700,0.002832
1800,0.003283
1900,0.00368
2000,0.003904
2100,0.004074
2200,0.004285
2300,0.004633
2400,0.004697
2500,0.005027
2600,0.005215
2700,0.005365
2800,0.00568
2900,0.00573
3000,0.006222
3100,0.006079
3200,0.006355
3300,0.00647
3400,0.005912
3500,0.004311
3600,0.004572
3700,0.004859
3800,0.005106
3900,0.005441
4000,0.005629
4100,0.005873
4200,0.006211
4300,0.006484
4400,0.006793
4500,0.00718
4600,0.007398
4700,0.007754
4800,0.008093
4900,0.008483
5000,0.008768
5100,0.009053
5200,0.009496
5300,0.009804
5400,0.010187
5500,0.010585
5600,0.011055
5700,0.011367
5800,0.011733
5900,0.012238
6000,0.012607
6100,0.01303
6200,0.013418
6300,0.013804
6400,0.014349
6500,0.014692
6600,0.015232
6700,0.015622
6800,0.016127
6900,0.016615
7000,0.017096
7100,0.017515
7200,0.018039
7300,0.018591
7400,0.019035
7500,0.019527
7600,0.02031
7700,0.021117
7800,0.021417
7900,0.021845
8000,0.02242
8100,0.02295
8200,0.023515
8300,0.024123
8400,0.024541
8500,0.025253
8600,0.025946
8700,0.026481
8800,0.027002
8900,0.02772
9000,0.028342
9100,0.029119
9200,0.029715
9300,0.030353
9400,0.0309
9500,0.031479
9600,0.031941
9700,0.032713
9800,0.033206
9900,0.034299
10000,0.034661
