N,time
29,1.1e-05
29,9e-06
29,8e-06
29,7e-06
29,8e-06
29,8e-06
29,7e-06
29,8e-06
29,7e-06
29,7e-06
29,7e-06
29,8e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,2.6e-05
29,7e-06
29,8e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,6e-06
29,7e-06
29,7e-06
29,7e-06
29,6e-06
29,7e-06
29,8e-06
29,6e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,6e-06
29,7e-06
29,7e-06
29,7e-06
29,6e-06
29,6e-06
29,6e-06
29,7e-06
29,7e-06
29,7e-06
29,7e-06
29,6e-06
29,6e-06
29,6e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,4e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,6e-06
29,7e-06
29,7e-06
29,5e-06
29,5e-06
29,5e-06
29,5e-06
29,6e-06
29,5e-06
29,5e-06
29,5e-06
29,4e-06
29,5e-06
29,4e-06
29,4e-06
29,4e-06
29,4e-06
29,4e-06
29,4e-06
29,5e-06
29,5e-06
29,6e-06
29,6e-06
29,4e-06
29,5e-06
29,4e-06
29,4e-06
29,4e-06
